what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1321646720753
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1321646720831
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1321646725683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321646736260
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321646739629
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1321646773497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321646786601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321646839469
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1321646850202
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1321646850233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321646854149
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1321646859281
opened,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1321646874966
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1321646903471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321646910446
opened,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1321646917411
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1321646917494
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321646924277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321646930881
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1321646956037
error,log,,,"Unhandled event loop exception",1321646973334
error,log,,,"Unhandled event loop exception",1321646973345
error,log,,,"Unhandled event loop exception",1321646973354
error,log,,,"Unhandled event loop exception",1321646973364
error,log,,,"Unhandled event loop exception",1321646973877
error,log,,,"Unhandled event loop exception",1321646973931
error,log,,,"Unhandled event loop exception",1321646975440
error,log,,,"Unhandled event loop exception",1321646975456
error,log,,,"Unhandled event loop exception",1321646975467
error,log,,,"Unhandled event loop exception",1321646975478
error,log,,,"Unhandled event loop exception",1321646975490
error,log,,,"Unhandled event loop exception",1321646975896
error,log,,,"Unhandled event loop exception",1321646978296
error,log,,,"Unhandled event loop exception",1321646978313
error,log,,,"Unhandled event loop exception",1321646978324
error,log,,,"Unhandled event loop exception",1321646978337
error,log,,,"Unhandled event loop exception",1321646978349
error,log,,,"Unhandled event loop exception",1321646978901
error,log,,,"Unhandled event loop exception",1321646990614
error,log,,,"Unhandled event loop exception",1321646990641
error,log,,,"Unhandled event loop exception",1321646990652
error,log,,,"Unhandled event loop exception",1321646990664
error,log,,,"Unhandled event loop exception",1321646991411
error,log,,,"Unhandled event loop exception",1321646995059
error,log,,,"Unhandled event loop exception",1321646995078
error,log,,,"Unhandled event loop exception",1321646995089
error,log,,,"Unhandled event loop exception",1321646995101
error,log,,,"Unhandled event loop exception",1321646995113
error,log,,,"Unhandled event loop exception",1321646995423
error,log,,,"Unhandled event loop exception",1321647026931
error,log,,,"Unhandled event loop exception",1321647028341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321647043268
error,log,,,"Unhandled event loop exception",1321647043852
